Income,Coapplicant_Income,Loan_Tenor,Credit_History,Max_Loan_Amount,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
2500,3796.0,144.0,1.0,247.32,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3029,0.0,144.0,1.0,82.66,0,1,0,1,0,0,0,1,1,0,0,0,1,1
2609,3449.0,72.0,0.0,82.66,0,1,0,1,1,0,0,0,0,1,1,0,0,0
4945,0.0,144.0,0.0,179.23,0,1,0,1,0,1,0,0,1,0,1,0,0,0
4166,0.0,144.0,0.0,139.97,1,0,1,0,1,0,0,0,1,0,0,1,0,0
5726,4595.0,144.0,1.0,450.18,0,1,0,1,1,0,0,0,1,0,0,1,0,0
3200,2254.0,72.0,0.0,67.44,0,1,1,0,1,0,0,0,0,1,0,0,1,0
10750,0.0,144.0,1.0,471.8,0,1,0,1,0,1,0,0,1,0,0,0,1,1
7100,0.0,60.0,1.0,79.1,0,1,0,1,0,0,0,1,0,1,0,0,1,1
4300,0.0,144.0,0.0,146.72,1,0,1,0,1,0,0,0,1,0,0,1,0,0
3208,3066.0,144.0,1.0,246.21,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1875,1875.0,144.0,1.0,119.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
3500,0.0,120.0,1.0,77.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
5266,1774.0,144.0,1.0,284.82,0,1,0,1,0,0,0,1,1,0,0,1,0,1
3750,0.0,192.0,1.0,182.0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
3750,4750.0,144.0,1.0,358.4,0,1,1,0,1,0,0,0,1,0,0,0,1,0
1000,3022.0,144.0,1.0,132.71,0,1,0,1,0,1,0,0,1,0,0,0,1,0
3167,4000.0,120.0,0.0,231.01,0,1,0,1,0,0,0,1,1,0,0,1,0,0
3846,0.0,144.0,1.0,123.84,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2395,0.0,144.0,1.0,50.71,0,1,0,1,0,1,0,0,1,0,0,1,0,1
1378,1881.0,144.0,1.0,94.25,1,0,0,1,0,0,1,0,1,0,0,0,1,0
3988,0.0,96.0,1.0,64.0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
2366,2531.0,144.0,1.0,176.81,0,1,1,0,1,0,0,0,1,0,0,1,0,1
2500,2118.0,144.0,1.0,162.75,0,1,0,1,1,0,0,0,1,0,0,1,0,1
8566,0.0,144.0,1.0,361.73,0,1,1,0,1,0,0,0,1,0,0,0,1,1
5695,4167.0,144.0,1.0,427.04,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2958,2900.0,144.0,1.0,225.24,0,1,0,1,1,0,0,0,1,0,0,1,0,1
6250,5654.0,72.0,1.0,229.98,0,1,0,1,0,0,1,0,1,0,0,1,0,1
3273,1820.0,144.0,1.0,186.69,0,1,0,1,0,0,1,0,0,1,0,0,1,1
4133,0.0,144.0,1.0,138.3,0,1,1,0,1,0,0,0,1,0,0,1,0,1
3620,0.0,120.0,1.0,82.04,0,1,1,0,1,0,0,0,0,1,0,1,0,1
2484,2302.0,144.0,1.0,171.21,1,0,0,1,1,0,0,0,1,0,0,1,0,1
1977,997.0,144.0,1.0,79.89,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4188,0.0,72.0,1.0,35.54,0,1,0,1,1,0,0,0,0,1,0,1,0,1
1759,3541.0,144.0,1.0,197.12,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4288,3263.0,72.0,1.0,120.29,0,1,0,1,0,0,1,0,0,1,0,0,1,1
4843,3806.0,144.0,1.0,365.91,0,1,1,0,1,0,0,0,1,0,0,1,0,1
4652,3583.0,144.0,1.0,345.04,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3052,1030.0,144.0,1.0,135.73,0,1,0,1,0,1,0,0,1,0,0,0,1,1
11417,1126.0,144.0,1.0,432.17,0,1,0,1,0,0,1,0,1,0,0,0,1,1
7333,0.0,144.0,1.0,299.58,0,1,1,0,1,0,0,0,0,1,1,0,0,0
3800,3600.0,144.0,0.0,302.96,0,1,0,1,0,0,1,0,1,0,0,0,1,0
2071,754.0,192.0,1.0,119.84,0,1,0,1,0,0,0,1,0,1,0,1,0,1
5316,0.0,144.0,1.0,197.93,0,1,1,0,1,0,0,0,1,0,0,0,1,1
2929,2333.0,144.0,1.0,195.2,1,0,0,1,1,0,0,0,1,0,0,1,0,1
5050,0.0,144.0,1.0,184.52,0,1,1,0,1,0,0,0,1,0,0,1,0,1
14583,0.0,72.0,1.0,297.49,0,1,0,1,0,1,0,0,1,0,1,0,0,1
3167,2283.0,144.0,1.0,204.68,1,0,0,1,1,0,0,0,1,0,0,1,0,1
5568,2142.0,144.0,1.0,318.58,0,1,0,1,1,0,0,0,1,0,1,0,0,0
10408,0.0,144.0,1.0,454.56,1,0,1,0,1,0,0,0,1,0,0,0,1,1
4166,0.0,144.0,1.0,139.97,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2137,8980.0,144.0,0.0,360.3,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2957,0.0,144.0,1.0,79.03,0,1,0,1,0,0,1,0,1,0,0,1,0,1
4300,2014.0,144.0,1.0,248.23,0,1,0,1,1,0,0,0,0,1,1,0,0,1
3865,1640.0,144.0,1.0,207.45,0,1,1,0,1,0,0,0,1,0,1,0,0,1
10513,3850.0,72.0,0.0,291.95,0,1,0,1,0,1,0,0,1,0,0,0,1,0
2014,1929.0,144.0,1.0,128.73,0,1,1,0,1,0,0,0,1,0,0,0,1,1
2718,0.0,144.0,1.0,66.99,0,1,1,0,1,0,0,0,1,0,0,1,0,1
3459,0.0,120.0,1.0,75.28,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4895,0.0,144.0,1.0,176.71,0,1,1,0,1,0,0,0,1,0,0,1,0,1
4000,7750.0,144.0,1.0,522.2,0,1,0,1,0,0,0,1,1,0,0,1,0,0
4583,0.0,144.0,1.0,160.98,1,0,0,1,1,0,0,0,1,0,1,0,0,0
3316,3500.0,144.0,1.0,273.53,0,1,0,1,0,0,1,0,1,0,0,0,1,1
14999,0.0,144.0,0.0,685.95,0,1,1,0,1,0,0,0,1,0,0,1,0,0
4200,1430.0,144.0,1.0,213.75,0,1,0,1,0,0,1,0,0,1,1,0,0,0
5042,2083.0,144.0,1.0,289.1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
5417,0.0,144.0,1.0,203.02,0,1,1,0,1,0,0,0,1,0,0,0,1,1
6950,0.0,72.0,1.0,105.14,0,1,1,0,1,0,0,0,1,0,0,1,0,1
2698,2034.0,144.0,1.0,168.49,0,1,0,1,1,0,0,0,1,0,0,1,0,1
11757,0.0,72.0,1.0,226.28,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2330,4486.0,144.0,1.0,273.53,1,0,0,1,1,0,0,0,1,0,0,1,0,1
14866,0.0,144.0,1.0,349.25,1,0,0,1,0,0,1,0,1,0,0,0,1,1
1538,1425.0,144.0,1.0,79.34,0,1,0,1,0,1,0,0,1,0,0,0,1,1
10000,1666.0,144.0,1.0,517.97,1,0,1,0,1,0,0,0,1,0,1,0,0,0
4860,830.0,144.0,1.0,216.78,0,1,0,1,1,0,0,0,1,0,0,1,0,1
6277,0.0,144.0,0.0,246.36,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2577,3750.0,144.0,1.0,248.88,0,1,0,1,1,0,0,0,1,0,1,0,0,1
9166,0.0,144.0,1.0,391.97,0,1,1,0,1,0,0,0,1,0,0,0,1,0
2281,0.0,144.0,1.0,44.96,0,1,0,1,0,0,1,0,0,1,1,0,0,0
3254,0.0,144.0,1.0,94.0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
39999,0.0,72.0,0.0,607.97,0,1,0,1,0,0,0,1,1,0,0,1,0,1
9538,0.0,144.0,1.0,410.72,0,1,0,1,0,1,0,0,1,0,0,0,1,1
2980,2083.0,144.0,1.0,185.18,0,1,1,0,1,0,0,0,1,0,1,0,0,1
4583,5625.0,144.0,1.0,444.48,0,1,0,1,1,0,0,0,1,0,0,1,0,1
1863,1041.0,144.0,1.0,76.36,0,1,0,1,1,0,0,0,0,1,0,1,0,1
7933,0.0,144.0,1.0,329.82,0,1,0,1,1,0,0,0,1,0,0,0,1,0
3089,1280.0,144.0,0.0,150.2,0,1,0,1,0,1,0,0,1,0,0,1,0,0
4167,1447.0,144.0,1.0,212.95,0,1,0,1,0,0,1,0,1,0,1,0,0,1
9323,0.0,72.0,1.0,164.94,0,1,0,1,1,0,0,0,1,0,0,0,1,1
4583,0.0,144.0,1.0,160.98,1,0,0,1,1,0,0,0,1,0,1,0,0,0
2439,3333.0,144.0,1.0,220.91,0,1,0,1,1,0,0,0,1,0,1,0,0,1
2237,0.0,192.0,0.0,80.33,0,1,1,0,1,0,0,0,1,0,0,1,0,0
8000,0.0,144.0,1.0,333.2,0,1,0,1,0,0,1,0,1,0,0,1,0,1
1820,1769.0,144.0,1.0,110.89,0,1,0,1,1,0,0,0,0,1,1,0,0,1
3522,0.0,72.0,1.0,38.75,0,1,0,1,0,0,0,1,0,1,1,0,0,0
5708,5625.0,144.0,1.0,501.18,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4344,736.0,144.0,1.0,186.03,0,1,0,1,1,0,0,0,0,1,0,1,0,0
3497,1964.0,144.0,1.0,205.23,0,1,0,1,1,0,0,0,1,0,1,0,0,1
2045,1619.0,144.0,1.0,114.67,0,1,0,1,0,0,1,0,1,0,1,0,0,1
5516,11300.0,144.0,0.0,777.53,0,1,0,1,0,0,0,1,1,0,0,1,0,0
3750,0.0,144.0,1.0,119.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1
2333,1451.0,192.0,0.0,184.28,0,1,1,0,1,0,0,0,0,1,0,0,1,0
6400,7250.0,144.0,0.0,387.96,0,1,0,1,0,1,0,0,1,0,0,0,1,0
4600,0.0,72.0,1.0,45.92,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3625,0.0,144.0,1.0,112.7,1,0,0,1,1,0,0,0,1,0,0,1,0,1
2178,0.0,120.0,0.0,21.48,0,1,0,1,0,1,0,0,1,0,1,0,0,0
9328,0.0,72.0,1.0,165.07,0,1,0,1,1,0,0,0,1,0,1,0,0,1
4885,0.0,144.0,1.0,176.2,0,1,1,0,1,0,0,0,0,1,1,0,0,1
12000,0.0,144.0,1.0,404.8,0,1,1,0,1,0,0,0,1,0,0,1,0,0
6033,0.0,144.0,1.0,234.06,0,1,0,1,1,0,0,0,0,1,0,0,1,0
3858,0.0,144.0,1.0,124.44,0,1,1,0,1,0,0,0,1,0,0,1,0,1
4191,0.0,144.0,1.0,141.23,0,1,1,0,1,0,0,0,1,0,1,0,0,1
3125,2583.0,144.0,1.0,217.68,0,1,0,1,0,1,0,0,1,0,0,1,0,0
11000,0.0,144.0,1.0,484.4,0,1,1,0,1,0,0,0,1,0,0,0,1,0
2600,2500.0,144.0,1.0,187.04,0,1,0,1,0,1,0,0,0,1,0,1,0,1
4923,0.0,144.0,0.0,178.12,0,1,1,0,0,0,1,0,1,0,0,1,0,1
3992,0.0,72.0,1.0,30.6,0,1,0,1,0,0,0,1,0,1,0,0,1,0
3500,1083.0,144.0,1.0,160.98,0,1,0,1,0,1,0,0,0,1,0,0,1,1
3917,0.0,144.0,1.0,127.42,0,1,0,1,0,0,1,0,0,1,0,1,0,1
4408,0.0,144.0,1.0,152.16,1,0,1,0,1,0,0,0,0,1,0,1,0,1
3244,0.0,144.0,1.0,93.5,1,0,1,0,1,0,0,0,1,0,0,0,1,1
3975,2531.0,144.0,1.0,257.9,0,1,1,0,1,0,0,0,0,1,1,0,0,1
2479,0.0,144.0,1.0,54.94,0,1,1,0,1,0,0,0,1,0,0,0,1,1
3418,0.0,144.0,1.0,102.27,0,1,1,0,1,0,0,0,1,0,0,1,0,0
10000,0.0,144.0,1.0,434.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
3430,1250.0,144.0,0.0,165.87,0,1,0,1,0,0,0,1,1,0,0,1,0,0
7787,0.0,144.0,1.0,322.46,0,1,0,1,0,1,0,0,1,0,0,0,1,1
5703,0.0,144.0,1.0,217.43,0,1,0,1,0,0,0,1,0,1,1,0,0,1
3173,3021.0,144.0,1.0,242.18,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3850,983.0,144.0,1.0,173.58,0,1,0,1,0,0,0,1,0,1,0,1,0,1
150,1800.0,144.0,1.0,28.28,0,1,0,1,1,0,0,0,1,0,1,0,0,0
3727,1775.0,144.0,1.0,207.3,0,1,0,1,1,0,0,0,1,0,0,1,0,1
5000,0.0,144.0,0.0,182.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
2221,0.0,144.0,0.0,41.94,0,1,0,1,1,0,0,0,1,0,0,0,1,0
4009,1717.0,144.0,1.0,218.59,0,1,0,1,0,0,1,0,1,0,0,1,0,1
2971,2791.0,144.0,1.0,220.4,0,1,1,0,1,0,0,0,1,0,0,1,0,1
6250,0.0,144.0,1.0,245.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3250,0.0,144.0,1.0,93.8,0,1,0,1,1,0,0,0,1,0,1,0,0,0
6250,1695.0,144.0,1.0,330.43,0,1,0,1,0,0,1,0,1,0,0,1,0,1
6400,0.0,144.0,1.0,252.56,0,1,1,0,1,0,0,0,1,0,1,0,0,1
2491,2054.0,144.0,1.0,159.07,0,1,0,1,0,1,0,0,1,0,0,1,0,1
3716,0.0,72.0,1.0,23.64,0,1,0,1,1,0,0,0,1,0,1,0,0,1
8333,0.0,144.0,1.0,349.98,1,0,1,0,1,0,0,0,1,0,0,1,0,1
3155,1779.0,144.0,1.0,178.67,0,1,0,1,0,1,0,0,1,0,0,1,0,1
5500,1260.0,144.0,1.0,270.7,0,1,0,1,0,1,0,0,1,0,1,0,0,1
3812,0.0,144.0,1.0,122.12,1,0,1,0,0,1,0,0,1,0,1,0,0,1
3315,0.0,144.0,1.0,97.08,0,1,0,1,0,1,0,0,1,0,0,1,0,1
5819,5000.0,144.0,1.0,475.28,0,1,0,1,0,0,1,0,1,0,1,0,0,1
2510,1983.0,72.0,1.0,43.22,0,1,0,1,0,1,0,0,0,1,0,0,1,0
2965,5701.0,60.0,1.0,111.99,0,1,1,0,1,0,0,0,1,0,0,0,1,1
6250,1300.0,144.0,1.0,310.52,0,1,0,1,0,0,1,0,1,0,1,0,0,1
3406,4417.0,144.0,1.0,324.28,0,1,0,1,1,0,0,0,0,1,0,1,0,1
6050,4333.0,72.0,1.0,191.65,0,1,1,0,1,0,0,0,1,0,0,0,1,0
9703,0.0,144.0,1.0,419.03,0,1,0,1,0,0,1,0,1,0,0,0,1,1
6608,0.0,72.0,1.0,96.52,0,1,0,1,0,1,0,0,0,1,0,0,1,1
2882,1843.0,192.0,1.0,247.52,0,1,0,1,0,1,0,0,1,0,0,1,0,1
1809,1868.0,144.0,1.0,115.32,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1668,3890.0,144.0,0.0,210.12,0,1,0,1,1,0,0,0,0,1,0,1,0,0
3427,0.0,144.0,1.0,102.72,1,0,1,0,0,0,1,0,1,0,0,0,1,0
2583,2167.0,144.0,1.0,169.4,0,1,1,0,1,0,0,0,0,1,1,0,0,1
2661,7101.0,72.0,1.0,176.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
16250,0.0,144.0,0.0,419.0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
3083,0.0,144.0,1.0,85.38,1,0,1,0,0,0,0,1,1,0,1,0,0,1
6045,0.0,144.0,0.0,234.67,0,1,1,0,1,0,0,0,0,1,1,0,0,0
5250,0.0,144.0,1.0,194.6,0,1,0,1,0,0,0,1,1,0,0,0,1,0
14683,2100.0,144.0,1.0,545.86,0,1,0,1,1,0,0,0,1,0,1,0,0,0
2060,2209.0,144.0,1.0,145.16,0,1,1,0,1,0,0,0,1,0,0,1,0,1
3481,0.0,36.0,1.0,43.86,1,0,1,0,0,1,0,0,1,0,0,1,0,0
7200,0.0,144.0,1.0,292.88,1,0,1,0,1,0,0,0,1,0,1,0,0,1
5166,0.0,144.0,1.0,190.37,0,1,1,0,1,0,0,0,1,0,0,1,0,1
4095,3447.0,144.0,1.0,310.12,0,1,1,0,1,0,0,0,1,0,1,0,0,1
4708,1387.0,144.0,1.0,237.19,0,1,0,1,0,0,1,0,1,0,0,1,0,1
4333,1811.0,144.0,0.0,239.66,0,1,0,1,0,0,0,1,1,0,0,0,1,1
3418,0.0,144.0,1.0,102.27,1,0,1,0,1,0,0,0,1,0,1,0,0,0
2876,1560.0,144.0,1.0,153.57,1,0,1,0,0,1,0,0,1,0,0,0,1,1
3237,0.0,144.0,1.0,93.14,1,0,1,0,1,0,0,0,1,0,0,0,1,1
11146,0.0,144.0,1.0,361.76,0,1,0,1,1,0,0,0,1,0,0,0,1,1
2833,1857.0,144.0,1.0,166.38,0,1,1,0,1,0,0,0,1,0,1,0,0,1
2620,2223.0,144.0,1.0,174.09,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3900,0.0,144.0,1.0,126.56,0,1,0,1,0,0,1,0,1,0,0,1,0,1
2750,1842.0,144.0,1.0,161.44,0,1,0,1,0,1,0,0,1,0,0,1,0,1
3993,3274.0,144.0,1.0,296.26,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3103,1300.0,144.0,1.0,151.91,0,1,0,1,1,0,0,0,1,0,0,0,1,1
14583,0.0,144.0,1.0,664.98,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4053,2426.0,144.0,0.0,256.54,0,1,1,0,0,1,0,0,0,1,0,0,1,0
3927,800.0,144.0,1.0,168.24,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2301,985.7999878,72.0,1.0,12.83,0,1,0,1,0,0,1,0,1,0,0,0,1,1
1811,1666.0,144.0,1.0,105.24,1,0,1,0,1,0,0,0,1,0,0,0,1,1
20667,0.0,144.0,1.0,741.62,0,1,0,1,1,0,0,0,1,0,1,0,0,0
3158,3053.0,144.0,1.0,243.03,0,1,1,0,1,0,0,0,1,0,1,0,0,1
2600,1717.0,120.0,1.0,111.31,1,0,1,0,1,0,0,0,1,0,0,1,0,0
3704,2000.0,144.0,1.0,217.48,0,1,0,1,1,0,0,0,1,0,1,0,0,1
4124,0.0,144.0,1.0,137.85,1,0,1,0,1,0,0,0,1,0,0,1,0,1
9508,0.0,144.0,1.0,409.2,0,1,1,0,1,0,0,0,1,0,1,0,0,1
3075,2416.0,144.0,1.0,206.75,0,1,0,1,1,0,0,0,1,0,1,0,0,1
4400,0.0,144.0,0.0,151.76,0,1,0,1,0,0,1,0,1,0,0,1,0,0
3153,1560.0,144.0,1.0,167.54,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2383,3334.0,144.0,1.0,218.14,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4416,1250.0,144.0,1.0,215.57,0,1,0,1,0,0,0,1,1,0,0,0,1,1
6875,0.0,144.0,1.0,276.5,0,1,0,1,0,1,0,0,1,0,0,1,0,1
4666,0.0,144.0,1.0,165.17,1,0,0,1,0,1,0,0,1,0,0,0,1,1
5000,2541.0,192.0,1.0,436.76,1,0,1,0,1,0,0,0,1,0,1,0,0,0
2014,2925.0,144.0,1.0,178.93,0,1,0,1,0,1,0,0,1,0,0,0,1,0
1800,2934.0,144.0,0.0,168.59,0,1,0,1,1,0,0,0,0,1,0,0,1,0
5000,0.0,144.0,1.0,182.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
1625,1803.0,144.0,1.0,102.77,0,1,0,1,0,1,0,0,1,0,0,0,1,1
4000,2500.0,144.0,1.0,257.6,0,1,1,0,1,0,0,0,1,0,1,0,0,1
2000,0.0,144.0,1.0,30.8,0,1,1,0,1,0,0,0,0,1,0,0,1,0
3762,1666.0,144.0,1.0,203.57,1,0,1,0,1,0,0,0,1,0,1,0,0,1
2400,1863.0,144.0,0.0,144.86,1,0,1,0,1,0,0,0,1,0,0,0,1,0
20233,0.0,144.0,1.0,719.74,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2917,0.0,144.0,1.0,77.02,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2927,2405.0,144.0,1.0,198.73,0,1,1,0,1,0,0,0,0,1,0,1,0,1
2507,0.0,144.0,1.0,56.35,1,0,1,0,1,0,0,0,1,0,1,0,0,1
3399,1640.0,72.0,1.0,56.98,0,1,0,1,0,1,0,0,0,1,0,0,1,1
3717,0.0,144.0,1.0,117.34,0,1,0,1,0,0,1,0,1,0,0,1,0,1
10000,0.0,144.0,1.0,434.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
2400,2167.0,144.0,1.0,160.18,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4342,189.0,144.0,1.0,158.36,0,1,0,1,0,0,0,1,1,0,0,1,0,1
3601,1590.0,144.0,1.0,191.63,0,1,0,1,0,0,1,0,0,1,1,0,0,1
15000,0.0,144.0,1.0,556.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
8666,4983.0,144.0,0.0,617.91,0,1,0,1,0,1,0,0,1,0,1,0,0,0
4917,0.0,144.0,0.0,177.82,0,1,1,0,1,0,0,0,1,0,1,0,0,1
5818,2160.0,144.0,1.0,332.09,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4333,2451.0,144.0,1.0,271.91,1,0,0,1,1,0,0,0,1,0,0,0,1,0
2500,0.0,144.0,1.0,56.0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
4384,1793.0,144.0,1.0,241.32,0,1,1,0,0,1,0,0,1,0,0,0,1,1
2935,0.0,144.0,1.0,77.92,0,1,1,0,1,0,0,0,1,0,0,1,0,1
63337,0.0,72.0,1.0,600.0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
5250,688.0,144.0,1.0,229.28,0,1,0,1,0,1,0,0,1,0,1,0,0,1
2500,4600.0,144.0,1.0,287.84,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1830,0.0,144.0,0.0,22.23,1,0,1,0,0,0,0,1,0,1,0,0,1,0
4160,0.0,144.0,1.0,139.66,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2647,1587.0,144.0,1.0,143.39,0,1,0,1,0,0,0,1,0,1,1,0,0,0
2378,0.0,144.0,1.0,49.85,1,0,1,0,1,0,0,0,1,0,1,0,0,0
4554,1229.0,144.0,1.0,221.46,0,1,0,1,0,1,0,0,0,1,0,0,1,1
3173,0.0,144.0,1.0,89.92,0,1,0,1,0,0,0,1,0,1,0,1,0,1
2583,2330.0,144.0,1.0,177.62,0,1,0,1,0,0,1,0,1,0,1,0,0,1
2499,2458.0,144.0,1.0,179.83,0,1,0,1,1,0,0,0,1,0,0,1,0,1
